timestamp,queue_length,tier
1731874704.545,1,server
1731874705.545,0,server
1731874706.545,1,server
1731874707.545,0,server
1731874708.545,1,server
1731874709.545,1,server
1731874710.545,2,server
1731874711.545,2,server
1731874712.545,2,server
1731874713.545,13,server
1731874714.545,14,server
1731874715.545,5,server
1731874716.545,6,server
1731874717.545,9,server
1731874718.545,13,server
1731874719.545,12,server
1731874720.545,11,server
1731874721.545,14,server
1731874722.545,10,server
1731874723.545,13,server
1731874724.545,7,server
1731874725.545,14,server
1731874726.545,13,server
1731874727.545,8,server
1731874728.545,9,server
1731874729.545,5,server
1731874730.545,8,server
1731874731.545,11,server
1731874732.545,12,server
1731874733.545,12,server
1731874734.545,7,server
1731874735.545,8,server
1731874736.545,14,server
1731874737.545,10,server
1731874738.545,7,server
1731874739.545,10,server
1731874740.545,13,server
1731874741.545,10,server
1731874742.545,8,server
1731874743.545,13,server
1731874744.545,0,server
1731874745.545,2,server
1731874746.545,0,server
1731874747.545,1,server
1731874748.545,0,server
1731874749.545,2,server
1731874750.545,1,server
1731874751.545,2,server
1731874752.545,2,server
1731874753.545,2,server
1731874754.545,0,server
1731874755.545,0,server
1731874756.545,2,server
1731874757.545,2,server
1731874758.545,1,server
1731874759.545,1,server
1731874760.545,1,server
1731874761.545,2,server
1731874762.545,0,server
1731874763.545,1,server
1731874764.545,2,server
1731874765.545,0,server
1731874766.545,2,server
1731874767.545,0,server
1731874768.545,0,server
1731874769.545,2,server
1731874770.545,0,server
1731874771.545,2,server
1731874772.545,0,server
1731874773.545,1,server
1731874774.545,0,server
1731874775.545,1,server
1731874776.545,1,server
1731874777.545,0,server
1731874778.545,2,server
1731874779.545,0,server
1731874780.545,1,server
1731874781.545,2,server
1731874782.545,2,server
1731874783.545,2,server
1731874784.545,0,server
1731874785.545,1,server
1731874786.545,2,server
1731874787.545,2,server
1731874788.545,2,server
1731874789.545,1,server
1731874790.545,2,server
1731874791.545,2,server
1731874792.545,2,server
1731874793.545,1,server
1731874794.545,0,server
1731874795.545,2,server
1731874796.545,1,server
1731874797.545,2,server
1731874798.545,2,server
1731874799.545,1,server
1731874800.545,2,server
1731874801.545,2,server
1731874802.545,0,server
1731874803.545,0,server
1731874804.545,0,server
1731874805.545,1,server
1731874806.545,2,server
1731874807.545,1,server
1731874808.545,0,server
1731874809.545,2,server
1731874810.545,0,server
1731874811.545,2,server
1731874812.545,2,server
1731874813.545,0,server
1731874814.545,2,server
1731874815.545,2,server
1731874816.545,1,server
1731874817.545,0,server
1731874818.545,1,server
1731874819.545,1,server
1731874820.545,1,server
1731874821.545,0,server
1731874822.545,1,server
1731874823.545,0,server
1731874824.545,0,server
1731874825.545,1,server
1731874826.545,0,server
1731874827.545,0,server
1731874828.545,0,server
1731874829.545,0,server
1731874830.545,0,server
1731874831.545,2,server
1731874832.545,1,server
